region_name,district_name,cluster_name,village_name,cohort,cycle,household_id,total_quantity,variety
South West,Kitagwenda,Nganiko,Kahenda,2025,A,KIT-KAH-MET-M-091114-15,1,Cabbage
South West,Kitagwenda,Nganiko,Kahenda,2025,A,KIT-KAH-MET-M-091114-15,1,Green Pepper
South West,Kitagwenda,Nganiko,Kahenda,2025,A,KIT-KAH-MET-M-091114-15,1,Nakati
South West,Kitagwenda,Nganiko,Kahenda,2025,A,KIT-KAH-MET-M-091114-15,1,Purple Eggplants
South West,Kitagwenda,Nganiko,Kahenda,2025,A,KIT-KAH-MET-M-091114-15,1,Spinach
South West,Kitagwenda,Nganiko,Kahenda,2025,A,KIT-KAH-MET-M-091114-15,1,Sukuma Wiki
South West,Kitagwenda,Nganiko,Kahenda,2025,A,KIT-KAH-MET-M-091114-15,2,Tomatoes
South West,Kitagwenda,Nganiko,Kahenda,2025,A,KIT-KAH-MET-M-091114-15,1,White Eggplants
South West,Kitagwenda,Nganiko,Kahenda,2025,A,KIT-KAH-MET-M-091114-15,1,Black night shade
South West,Kitagwenda,Nganiko,Kemihoko_A,2025,A,KIT-KEM-HED-F-093745-15,1,Amaranths
South West,Kitagwenda,Nganiko,Kemihoko_A,2025,A,KIT-KEM-HED-F-093745-15,1,Black night shade
South West,Kitagwenda,Nganiko,Kemihoko_A,2025,A,KIT-KEM-HED-F-093745-15,1,Cabbage
South West,Kitagwenda,Nganiko,Kemihoko_A,2025,A,KIT-KEM-HED-F-093745-15,1,Green Pepper
South West,Kitagwenda,Nganiko,Kemihoko_A,2025,A,KIT-KEM-HED-F-093745-15,1,Nakati
South West,Kitagwenda,Nganiko,Kemihoko_A,2025,A,KIT-KEM-HED-F-093745-15,1,Purple Eggplants
South West,Kitagwenda,Nganiko,Kemihoko_A,2025,A,KIT-KEM-HED-F-093745-15,1,Spinach
South West,Kitagwenda,Nganiko,Kemihoko_A,2025,A,KIT-KEM-HED-F-093745-15,1,Sukuma Wiki
South West,Kitagwenda,Nganiko,Kemihoko_A,2025,A,KIT-KEM-HED-F-093745-15,2,Tomatoes
South West,Kitagwenda,Nganiko,Kemihoko_A,2025,A,KIT-KEM-HED-F-093745-15,1,White Eggplants
South West,Kitagwenda,Nganiko,Kemihoko_B,2025,A,KIT-KEM-BIT-F-150851-15,1,Amaranths
South West,Kitagwenda,Nganiko,Kemihoko_B,2025,A,KIT-KEM-BIT-F-150851-15,1,Black night shade
South West,Kitagwenda,Nganiko,Kemihoko_B,2025,A,KIT-KEM-BIT-F-150851-15,1,Cabbage
South West,Kitagwenda,Nganiko,Kemihoko_B,2025,A,KIT-KEM-BIT-F-150851-15,1,Green Pepper
